HOUSEHOLD_ID,COVERED,COV_LY,PRIVATE,AGE,INCOME,POVERTY_LEVEL,MEDICAID,SEX,EDUC,WORK,GRP,ETHNICITY,YEAR,FIPS,VIRGINIA,MALE,SUP2019,HIGHER_BAC,TREAT,POOREST,WHITE,OTHER_ETHNICITY
37826,1,1,0,56,14337,2,1,2,39,1,2,1,2017,51,1,0,0,1,0,0,1,0
37834,1,1,1,22,18502,3,0,2,43,4,1,1,2017,51,1,0,0,1,0,1,1,0
37841,1,1,0,50,10000,1,1,1,39,0,2,1,2017,51,1,1,0,1,0,1,1,0
37844,1,1,0,41,30,1,1,2,41,1,2,1,2017,51,1,0,0,1,0,1,1,0
37844,1,1,0,51,385,1,1,1,37,1,2,1,2017,51,1,1,0,0,0,1,1,0
37846,1,1,1,21,4000,3,0,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
37851,0,2,0,34,19204,1,0,2,40,1,2,2,2017,51,1,0,0,1,0,1,0,1
37853,1,1,0,61,0,1,0,2,37,0,2,1,2017,51,1,0,0,0,0,1,1,0
37858,1,1,0,64,8508,1,1,1,35,0,2,1,2017,51,1,1,0,0,0,1,1,0
37860,1,1,1,34,30000,2,0,1,39,1,2,1,2017,51,1,1,0,1,0,0,1,0
37860,1,1,1,32,0,2,0,2,39,0,2,1,2017,51,1,0,0,1,0,0,1,0
37864,1,1,0,53,0,1,1,1,32,0,2,1,2017,51,1,1,0,0,0,1,1,0
37864,1,1,0,30,0,1,1,2,32,0,2,1,2017,51,1,0,0,0,0,1,1,0
37865,1,1,1,27,22830,3,0,2,41,3,1,1,2017,51,1,0,0,1,0,1,1,0
37880,0,2,0,37,0,1,0,1,39,0,2,1,2017,51,1,1,0,1,0,1,1,0
37882,0,2,0,26,24002,3,0,1,36,1,2,1,2017,51,1,1,0,0,0,1,1,0
37882,1,1,0,24,1401,1,1,2,39,1,2,1,2017,51,1,0,0,1,0,1,1,0
37901,1,1,1,61,0,1,0,2,40,0,1,1,2017,51,1,0,0,1,0,1,1,0
37912,0,2,0,54,13000,2,0,1,34,6,2,2,2017,51,1,1,0,0,0,0,0,1
37915,1,1,1,48,10000,3,0,2,43,1,1,1,2017,51,1,0,0,1,0,1,1,0
37915,1,1,1,45,18000,3,0,1,39,5,1,1,2017,51,1,1,0,1,0,1,1,0
37941,0,2,0,39,23500,1,0,2,41,1,2,2,2017,51,1,0,0,1,0,1,0,1
37946,1,1,1,41,25000,3,0,2,43,3,1,2,2017,51,1,0,0,1,0,1,0,1
37946,0,2,0,40,1000,3,0,1,39,0,2,2,2017,51,1,1,0,1,0,1,0,1
37962,1,1,1,39,45000,2,0,1,43,3,1,2,2017,51,1,1,0,1,0,0,0,1
37962,1,1,1,36,0,2,0,2,42,0,1,1,2017,51,1,0,0,1,0,0,1,0
37962,1,1,1,19,0,2,0,2,40,0,1,1,2017,51,1,0,0,1,0,0,1,0
37968,1,1,0,27,15000,1,1,2,39,0,1,2,2017,51,1,0,0,1,0,1,0,1
37970,1,1,0,64,0,2,0,2,39,0,2,1,2017,51,1,0,0,1,0,0,1,0
37973,1,1,1,22,3000,1,0,2,38,1,1,2,2017,51,1,0,0,0,0,1,0,1
37975,1,1,0,45,16030,3,0,1,43,0,2,1,2017,51,1,1,0,1,0,1,1,0
37976,0,2,0,44,22000,3,0,2,42,1,2,2,2017,51,1,0,0,1,0,1,0,1
37979,1,1,0,25,1764,1,1,2,39,0,2,1,2017,51,1,0,0,1,0,1,1,0
37980,1,1,0,64,3600,1,1,2,39,0,2,16,2017,51,1,0,0,1,0,1,0,1
37984,1,1,0,58,17040,2,1,1,34,0,2,2,2017,51,1,1,0,0,0,0,0,1
37984,1,1,0,51,3240,2,1,2,35,0,2,2,2017,51,1,0,0,0,0,0,0,1
37995,0,2,0,59,6000,1,0,2,40,1,2,2,2017,51,1,0,0,1,0,1,0,1
38003,1,1,0,56,8400,1,1,2,32,0,2,1,2017,51,1,0,0,0,0,1,1,0
38025,0,2,0,25,18720,2,0,1,39,1,2,1,2017,51,1,1,0,1,0,0,1,0
38025,0,2,0,24,10179,2,0,2,39,1,2,1,2017,51,1,0,0,1,0,0,1,0
38026,1,1,0,63,0,1,0,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38028,1,1,0,23,11700,1,1,2,39,1,1,1,2017,51,1,0,0,1,0,1,1,0
38033,1,1,0,55,13055,2,0,1,39,0,2,1,2017,51,1,1,0,1,0,0,1,0
38035,0,2,0,30,12740,1,0,2,37,6,2,1,2017,51,1,0,0,0,0,1,1,0
38037,0,2,0,61,0,1,0,2,33,0,2,1,2017,51,1,0,0,0,0,1,1,0
38037,0,2,0,35,0,1,0,2,41,8,2,1,2017,51,1,0,0,1,0,1,1,0
38038,1,1,1,19,14401,1,0,2,40,1,1,1,2017,51,1,0,0,1,0,1,1,0
38156,0,2,0,59,9036,1,0,2,35,0,2,1,2017,51,1,0,0,0,0,1,1,0
38156,0,2,0,40,0,1,0,1,39,0,2,1,2017,51,1,1,0,1,0,1,1,0
38157,1,1,1,24,8420,1,0,2,39,1,2,1,2017,51,1,0,0,1,0,1,1,0
38159,1,1,0,19,2500,2,1,1,40,0,2,2,2017,51,1,1,0,1,0,0,0,1
38166,0,2,0,54,10188,1,0,1,39,0,2,2,2017,51,1,1,0,1,0,1,0,1
38184,0,1,0,40,8820,1,0,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
38188,1,1,0,62,2000,1,0,1,37,3,2,2,2017,51,1,1,0,0,0,1,0,1
38190,0,1,0,44,15601,2,0,1,35,0,2,1,2017,51,1,1,0,0,0,0,1,0
38191,0,2,0,34,7000,1,0,1,34,6,2,1,2017,51,1,1,0,0,0,1,1,0
38196,0,2,0,34,10000,1,0,1,35,1,2,1,2017,51,1,1,0,0,0,1,1,0
38198,0,2,0,34,0,1,0,1,39,0,2,2,2017,51,1,1,0,1,0,1,0,1
38203,1,1,0,27,2400,1,1,2,40,0,2,7,2017,51,1,0,0,1,0,1,0,1
38212,1,1,1,46,23300,3,0,1,39,1,1,1,2017,51,1,1,0,1,0,1,1,0
38212,1,1,0,35,10079,1,0,2,39,0,2,1,2017,51,1,0,0,1,0,1,1,0
38223,0,2,0,23,13500,2,0,1,40,1,2,1,2017,51,1,1,0,1,0,0,1,0
38223,0,2,0,25,0,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38223,0,2,0,22,0,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38223,0,2,0,22,0,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38225,1,1,1,20,2128,1,0,2,40,1,2,1,2017,51,1,0,0,1,0,1,1,0
38225,1,1,1,20,0,1,0,2,40,0,2,4,2017,51,1,0,0,1,0,1,0,1
38225,1,1,1,20,0,1,0,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38225,1,1,1,20,0,1,0,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38226,1,1,1,45,2700,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38226,1,1,1,19,2700,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38226,1,1,1,19,2700,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38230,1,1,1,19,0,1,0,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38230,1,1,1,20,0,1,0,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38231,1,1,1,22,3600,1,0,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38233,1,1,1,21,0,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38233,1,1,1,21,0,1,0,1,40,0,2,4,2017,51,1,1,0,1,0,1,0,1
38234,1,1,1,22,8000,1,0,2,43,4,2,1,2017,51,1,0,0,1,0,1,1,0
38234,1,1,1,21,11500,1,0,2,43,3,1,1,2017,51,1,0,0,1,0,1,1,0
38249,1,1,1,24,2000,1,0,2,39,0,1,1,2017,51,1,0,0,1,0,1,1,0
38261,1,1,1,53,8000,1,0,2,39,1,1,1,2017,51,1,0,0,1,0,1,1,0
38272,1,1,0,50,0,1,1,2,39,0,2,1,2017,51,1,0,0,1,0,1,1,0
38273,0,2,0,47,0,1,0,2,42,0,2,1,2017,51,1,0,0,1,0,1,1,0
38273,1,2,1,55,27344,1,0,1,39,1,2,1,2017,51,1,1,0,1,0,1,1,0
38063,0,2,0,45,7792,3,0,2,41,1,2,1,2017,51,1,0,0,1,0,1,1,0
38063,1,1,0,47,15000,3,0,1,40,1,2,1,2017,51,1,1,0,1,0,1,1,0
38066,1,1,1,30,2940,1,0,2,44,3,1,2,2017,51,1,0,0,1,0,1,0,1
38076,0,2,0,21,12000,1,0,2,43,1,2,6,2017,51,1,0,0,1,0,1,0,1
38076,1,1,1,21,0,1,0,2,43,0,2,1,2017,51,1,0,0,1,0,1,1,0
38084,1,1,1,20,18000,2,0,2,40,1,1,1,2017,51,1,0,0,1,0,0,1,0
38097,1,1,0,37,0,1,1,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
38097,1,1,0,37,14401,1,1,1,40,1,2,2,2017,51,1,1,0,1,0,1,0,1
38108,0,2,0,50,0,1,0,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38110,1,1,0,32,21301,2,1,2,40,1,2,2,2017,51,1,0,0,1,0,0,0,1
38111,1,1,1,23,6502,1,0,1,40,1,1,1,2017,51,1,1,0,1,0,1,1,0
38111,0,2,0,26,0,1,0,2,39,0,2,1,2017,51,1,0,0,1,0,1,1,0
38122,1,1,0,51,0,1,1,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38122,1,1,0,28,0,1,1,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
38130,0,2,0,35,0,1,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
38132,1,1,0,47,26522,3,0,2,42,0,2,1,2017,51,1,0,0,1,0,1,1,0
38140,1,1,1,38,2400,3,0,2,43,1,2,1,2017,51,1,0,0,1,0,1,1,0
38140,1,1,1,39,31000,3,0,1,42,1,2,1,2017,51,1,1,0,1,0,1,1,0
38144,1,1,0,37,3200,1,1,2,39,1,2,2,2017,51,1,0,0,1,0,1,0,1
38145,0,1,0,28,4032,1,0,2,40,4,2,4,2017,51,1,0,0,1,0,1,0,1
38145,0,1,0,30,14400,1,0,1,39,4,2,4,2017,51,1,1,0,1,0,1,0,1
38148,0,2,0,52,1000,1,0,2,44,0,2,1,2017,51,1,0,0,1,0,1,1,0
38148,0,2,0,25,0,1,0,2,44,0,2,1,2017,51,1,0,0,1,0,1,1,0
38148,0,2,0,25,0,1,0,1,43,0,2,1,2017,51,1,1,0,1,0,1,1,0
38148,0,2,0,25,300,1,0,2,44,0,2,1,2017,51,1,0,0,1,0,1,1,0
38154,0,2,0,28,0,1,0,1,44,0,2,1,2017,51,1,1,0,1,0,1,1,0
38275,1,1,0,62,5100,1,0,2,39,0,2,2,2017,51,1,0,0,1,0,1,0,1
